,,,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 002,Sweep 002,Sweep 002,Sweep 002,Sweep 003,Sweep 003,Sweep 003,Sweep 003,Sweep 004,Sweep 004,Sweep 004,Sweep 004,Sweep 005,Sweep 005,Sweep 005,Sweep 005,Sweep 006,Sweep 006,Sweep 006,Sweep 006,Sweep 007,Sweep 007,Sweep 007,Sweep 007,Sweep 008,Sweep 008,Sweep 008,Sweep 008,Sweep 009,Sweep 009,Sweep 009,Sweep 009,Sweep 010,Sweep 010,Sweep 010,Sweep 010,Sweep 011,Sweep 011,Sweep 011,Sweep 011,Sweep 012,Sweep 012,Sweep 012,Sweep 012,Sweep 013,Sweep 013,Sweep 013,Sweep 013,Sweep 014,Sweep 014,Sweep 014,Sweep 014
Well ID,Cell Type,Valid QC,Capacitance,OA Function C1,OA Function C2,OA Function C1 / C2,Capacitance,OA Function C1,OA Function C2,OA Function C1 / C2,Capacitance,OA Function C1,OA Function C2,OA Function C1 / C2,Capacitance,OA Function C1,OA Function C2,OA Function C1 / C2,Capacitance,OA Function C1,OA Function C2,OA Function C1 / C2,Capacitance,OA Function C1,OA Function C2,OA Function C1 / C2,Capacitance,OA Function C1,OA Function C2,OA Function C1 / C2,Capacitance,OA Function C1,OA Function C2,OA Function C1 / C2,Capacitance,OA Function C1,OA Function C2,OA Function C1 / C2,Capacitance,OA Function C1,OA Function C2,OA Function C1 / C2,Capacitance,OA Function C1,OA Function C2,OA Function C1 / C2,Capacitance,OA Function C1,OA Function C2,OA Function C1 / C2,Capacitance,OA Function C1,OA Function C2,OA Function C1 / C2,Capacitance,OA Function C1,OA Function C2,OA Function C1 / C2
M01,WT +dox,T,3.894905E-11,-9.686635E-11,-1.194128E-9,8.111888E-2,3.919412E-11,-3.841252E-11,-1.242561E-9,3.091398E-2,3.846839E-11,-1.837120E-11,-1.154046E-9,1.591896E-2,3.810502E-11,-2.672175E-11,-1.174087E-9,2.275960E-2,3.707041E-11,-3.340219E-11,-1.112293E-9,3.003003E-2,3.781159E-11,-3.841252E-11,-1.010416E-9,3.801653E-2,3.781811E-11,-2.271349E-10,-6.613634E-10,3.434344E-1,3.697961E-11,-8.049927E-10,-1.920626E-10,4.191304E+0,3.709533E-11,-1.045489E-9,-7.181471E-11,1.455814E+1,3.660254E-11,-1.174087E-9,-4.676307E-11,2.510714E+1,3.616911E-11,-1.070540E-9,-4.175274E-11,2.564000E+1,3.618228E-11,-9.068695E-10,-5.678372E-11,1.597059E+1,3.525560E-11,-7.248275E-10,-5.845383E-11,1.240000E+1,3.456550E-11,-4.976926E-10,-5.511361E-11,9.030303E+0
N01,WT +dox,T,8.628119E-12,-1.837120E-11,-2.588670E-10,7.096774E-2,7.742468E-12,-3.006197E-11,-2.505164E-10,1.200000E-1,6.934352E-12,-2.839186E-11,-2.354854E-10,1.205674E-1,6.722132E-12,-3.340219E-11,-2.087637E-10,1.600000E-1,6.645457E-12,-4.175274E-11,-2.004131E-10,2.083333E-1,6.831958E-12,-4.509296E-11,-1.269283E-10,3.552632E-1,6.880771E-12,2.839186E-11,-2.672175E-11,-1.062500E+0,6.797341E-12,-7.181471E-11,-1.503099E-11,4.777778E+0,6.468717E-12,-1.653408E-10,6.680438E-12,-2.475000E+1,6.713593E-12,-2.154441E-10,5.010329E-12,-4.300000E+1,6.480358E-12,-2.087637E-10,0.000000E+0,-Inf,6.722319E-12,-1.686811E-10,1.670109E-12,-1.010000E+2,6.108241E-12,-1.102272E-10,-1.670109E-12,6.600000E+1,5.919890E-12,-6.179405E-11,-1.336088E-11,4.625000E+0
O01,WT +dox,T,1.633269E-11,-1.837120E-11,-2.471762E-10,7.432432E-2,1.627087E-11,-3.173208E-11,-2.488463E-10,1.275168E-1,1.646507E-11,-3.340219E-11,-2.371555E-10,1.408451E-1,1.631448E-11,-2.505164E-11,-2.304751E-10,1.086956E-1,1.621864E-11,-2.004131E-11,-2.104338E-10,9.523810E-2,1.683455E-11,-2.839186E-11,-1.753615E-10,1.619048E-1,1.638832E-11,-3.006197E-11,-1.185778E-10,2.535211E-1,1.635543E-11,-5.678372E-11,-6.012394E-11,9.444445E-1,1.627758E-11,-1.336088E-10,-3.841252E-11,3.478261E+0,1.619845E-11,-2.070936E-10,-3.006197E-11,6.888889E+0,1.627320E-11,-2.288050E-10,-1.837120E-11,1.245455E+1,1.622256E-11,-2.154441E-10,-3.006197E-11,7.166667E+0,1.643435E-11,-1.686811E-10,-1.503099E-11,1.122222E+1,1.634776E-11,-1.386191E-10,-3.507230E-11,3.952381E+0
A02,WT +dox,T,1.369274E-11,-2.839186E-11,-9.703336E-10,2.925990E-2,1.361377E-11,-2.171142E-11,-9.553026E-10,2.272727E-2,1.400353E-11,-3.173208E-11,-9.219004E-10,3.442029E-2,1.368165E-11,-2.171142E-11,-8.701270E-10,2.495201E-2,1.361799E-11,-2.505164E-11,-7.732607E-10,3.239741E-2,1.420671E-11,-2.338153E-11,-5.761878E-10,4.057971E-2,1.363896E-11,-7.515492E-11,-3.056300E-10,2.459016E-1,1.358094E-11,-3.440425E-10,-6.513427E-11,5.282052E+0,1.369697E-11,-7.882917E-10,-2.672175E-11,2.950000E+1,1.359442E-11,-9.402716E-10,-2.839186E-11,3.311765E+1,1.356677E-11,-8.985189E-10,-2.839186E-11,3.164706E+1,1.339223E-11,-7.548895E-10,-3.841252E-11,1.965217E+1,1.347260E-11,-5.962291E-10,-4.342285E-11,1.373077E+1,1.343954E-11,-4.125170E-10,-2.505164E-11,1.646667E+1
B02,WT +dox,T,1.836672E-11,-3.006197E-11,-8.317145E-10,3.614458E-2,1.862833E-11,-3.006197E-11,-7.999824E-10,3.757829E-2,1.863364E-11,-1.837120E-11,-7.782710E-10,2.360515E-2,1.876621E-11,-2.004131E-11,-7.398585E-10,2.708804E-2,1.880321E-11,-1.837120E-11,-6.713840E-10,2.736318E-2,1.879355E-11,-2.171142E-11,-5.327649E-10,4.075235E-2,1.876940E-11,-3.674241E-11,-3.189909E-10,1.151832E-1,1.863587E-11,-1.352789E-10,-1.135674E-10,1.191177E+0,1.868197E-11,-4.475893E-10,-3.006197E-11,1.488889E+1,1.874830E-11,-7.315080E-10,-3.006197E-11,2.433333E+1,1.876394E-11,-7.482091E-10,-2.004131E-11,3.733333E+1,1.850219E-11,-6.747242E-10,-2.839186E-11,2.376471E+1,1.868470E-11,-5.244144E-10,-2.338153E-11,2.242857E+1,1.866614E-11,-3.857953E-10,-2.505164E-11,1.540000E+1
D02,WT +dox,T,1.375924E-11,-5.010328E-11,-5.010328E-10,1.000000E-1,1.394559E-11,-2.004131E-11,-5.027029E-10,3.986711E-2,1.363917E-11,-1.837120E-11,-4.910122E-10,3.741496E-2,1.407353E-11,-2.171142E-11,-4.642904E-10,4.676259E-2,1.393251E-11,-2.171142E-11,-4.242078E-10,5.118110E-2,1.403816E-11,-2.505164E-11,-3.757746E-10,6.666666E-2,1.371966E-11,-3.340219E-11,-2.571968E-10,1.298701E-1,1.362740E-11,-9.018591E-11,-9.519624E-11,9.473684E-1,1.392645E-11,-3.106404E-10,-1.670110E-11,1.860000E+1,1.376251E-11,-4.910122E-10,-3.006197E-11,1.633333E+1,1.395340E-11,-4.893421E-10,-2.338153E-11,2.092857E+1,1.360898E-11,-4.008263E-10,-1.169077E-11,3.428571E+1,1.370926E-11,-3.039599E-10,-1.503099E-11,2.022222E+1,1.377818E-11,-2.020833E-10,-2.505164E-11,8.066668E+0
E02,WT +dox,T,2.643526E-11,-1.670110E-11,-6.830748E-10,2.444988E-2,2.608728E-11,-2.004131E-11,-6.763943E-10,2.962963E-2,2.632170E-11,-2.171142E-11,-6.496726E-10,3.341902E-2,2.635564E-11,-2.338153E-11,-6.246210E-10,3.743315E-2,2.632111E-11,-2.338153E-11,-5.695073E-10,4.105572E-2,2.641061E-11,-2.171142E-11,-4.793214E-10,4.529617E-2,2.627593E-11,-3.340219E-11,-3.022898E-10,1.104972E-1,2.617819E-11,-1.118973E-10,-1.052169E-10,1.063492E+0,2.623621E-11,-4.108469E-10,-3.006197E-11,1.366667E+1,2.634613E-11,-6.279612E-10,-2.338153E-11,2.685714E+1,2.634790E-11,-6.379818E-10,-2.839186E-11,2.247059E+1,2.638365E-11,-5.294247E-10,-2.338153E-11,2.264286E+1,2.621825E-11,-4.275480E-10,-1.837120E-11,2.327273E+1,2.659570E-11,-3.106404E-10,-2.338153E-11,1.328572E+1
G02,WT +dox,T,5.844955E-11,-2.171142E-11,-2.247967E-9,9.658246E-3,5.862080E-11,-2.171142E-11,-2.222916E-9,9.767093E-3,5.870449E-11,-1.670110E-11,-2.179493E-9,7.662836E-3,5.853153E-11,-2.171142E-11,-2.099328E-9,1.034208E-2,5.828384E-11,-1.670110E-11,-2.004131E-9,8.333334E-3,5.864796E-11,-2.839186E-11,-1.823760E-9,1.556777E-2,5.850533E-11,-3.340219E-11,-1.371160E-9,2.436054E-2,5.874457E-11,-2.421659E-10,-5.711774E-10,4.239766E-1,5.909771E-11,-2.366545E-9,-7.181471E-11,3.295349E+1,5.888365E-11,-2.436690E-9,-5.010328E-11,4.863334E+1,5.885038E-11,-2.154441E-9,-4.843317E-11,4.448276E+1,5.871218E-11,-1.765306E-9,-4.008263E-11,4.404166E+1,5.899260E-11,-1.376170E-9,-4.342285E-11,3.169231E+1,5.914325E-11,-9.937151E-10,-4.676307E-11,2.125000E+1
H02,WT +dox,T,1.987705E-11,-2.004131E-11,-9.619830E-10,2.083333E-2,1.986655E-11,-1.670110E-11,-9.369314E-10,1.782531E-2,1.997476E-11,-2.171142E-11,-9.135499E-10,2.376600E-2,2.031184E-11,-1.837120E-11,-8.517558E-10,2.156863E-2,2.011789E-11,-2.171142E-11,-7.816112E-10,2.777778E-2,2.027875E-11,-1.837120E-11,-6.212807E-10,2.956989E-2,2.027617E-11,-3.841252E-11,-3.841252E-10,9.999999E-2,2.021984E-11,-1.469696E-10,-1.085571E-10,1.353846E+0,1.981128E-11,-5.544764E-10,-3.006197E-11,1.844444E+1,2.015879E-11,-8.450754E-10,-2.505164E-11,3.373333E+1,2.029703E-11,-8.534259E-10,-2.505164E-11,3.406667E+1,2.027465E-11,-7.264976E-10,-1.503099E-11,4.833334E+1,2.024019E-11,-5.728475E-10,-1.336088E-11,4.287500E+1,2.029006E-11,-4.141872E-10,-2.672175E-11,1.550000E+1
I02,WT +dox,T,1.237155E-11,-2.004131E-11,-5.578166E-10,3.592815E-2,1.201036E-11,-2.004131E-11,-5.260845E-10,3.809524E-2,1.196116E-11,-2.505164E-11,-5.277546E-10,4.746835E-2,1.221776E-11,-2.505164E-11,-5.027029E-10,4.983389E-2,1.197927E-11,-2.004131E-11,-4.709709E-10,4.255319E-2,1.216657E-11,-2.672175E-11,-3.924757E-10,6.808510E-2,1.225970E-11,-2.505164E-11,-2.221246E-10,1.127820E-1,1.217119E-11,-6.847449E-11,-8.517558E-11,8.039216E-1,1.201540E-11,-2.622072E-10,-1.002066E-11,2.616667E+1,1.226129E-11,-4.592801E-10,-1.002066E-11,4.583333E+1,1.222628E-11,-4.876720E-10,-1.169077E-11,4.171428E+1,1.216690E-11,-4.409089E-10,-1.670110E-11,2.640000E+1,1.200186E-11,-3.557333E-10,-1.336088E-11,2.662500E+1,1.228578E-11,-2.521865E-10,-1.503099E-11,1.677778E+1
