,,,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 002,Sweep 002,Sweep 002,Sweep 002,Sweep 003,Sweep 003,Sweep 003,Sweep 003,Sweep 004,Sweep 004,Sweep 004,Sweep 004,Sweep 005,Sweep 005,Sweep 005,Sweep 005,Sweep 006,Sweep 006,Sweep 006,Sweep 006,Sweep 007,Sweep 007,Sweep 007,Sweep 007,Sweep 008,Sweep 008,Sweep 008,Sweep 008,Sweep 009,Sweep 009,Sweep 009,Sweep 009,Sweep 010,Sweep 010,Sweep 010,Sweep 010,Sweep 011,Sweep 011,Sweep 011,Sweep 011,Sweep 012,Sweep 012,Sweep 012,Sweep 012,Sweep 013,Sweep 013,Sweep 013,Sweep 013,Sweep 014,Sweep 014,Sweep 014,Sweep 014
Well ID,Cell Type,Valid QC,Capacitance,OA Function C1,OA Function C2,OA Function C1 / C2,Capacitance,OA Function C1,OA Function C2,OA Function C1 / C2,Capacitance,OA Function C1,OA Function C2,OA Function C1 / C2,Capacitance,OA Function C1,OA Function C2,OA Function C1 / C2,Capacitance,OA Function C1,OA Function C2,OA Function C1 / C2,Capacitance,OA Function C1,OA Function C2,OA Function C1 / C2,Capacitance,OA Function C1,OA Function C2,OA Function C1 / C2,Capacitance,OA Function C1,OA Function C2,OA Function C1 / C2,Capacitance,OA Function C1,OA Function C2,OA Function C1 / C2,Capacitance,OA Function C1,OA Function C2,OA Function C1 / C2,Capacitance,OA Function C1,OA Function C2,OA Function C1 / C2,Capacitance,OA Function C1,OA Function C2,OA Function C1 / C2,Capacitance,OA Function C1,OA Function C2,OA Function C1 / C2,Capacitance,OA Function C1,OA Function C2,OA Function C1 / C2
C06,WT - dox,T,1.303613E-11,-2.004131E-11,-2.505164E-11,8.000000E-1,1.308564E-11,-2.505164E-11,-1.503099E-11,1.666667E+0,1.286788E-11,-2.171142E-11,-2.004131E-11,1.083333E+0,1.323409E-11,-2.004131E-11,-2.338153E-11,8.571429E-1,1.306151E-11,-2.338153E-11,-2.338153E-11,1.000000E+0,1.312337E-11,-2.171142E-11,-1.670110E-11,1.300000E+0,1.303037E-11,-2.338153E-11,-1.503099E-11,1.555556E+0,1.282686E-11,-2.672175E-11,-2.672175E-11,1.000000E+0,1.307572E-11,-3.340219E-11,-2.338153E-11,1.428571E+0,1.331738E-11,-3.340219E-11,-2.672175E-11,1.250000E+0,1.317494E-11,-2.505164E-11,-2.171142E-11,1.153846E+0,1.312381E-11,-1.503099E-11,-1.837120E-11,8.181818E-1,1.310440E-11,-2.004131E-11,-3.340219E-11,6.000000E-1,1.319704E-11,3.340219E-12,-2.171142E-11,-1.538462E-1
E06,WT - dox,T,1.457242E-11,-2.672175E-11,-3.674241E-11,7.272727E-1,1.467925E-11,-3.674241E-11,-3.507230E-11,1.047619E+0,1.480189E-11,-2.171142E-11,-3.340219E-11,6.500000E-1,1.449439E-11,-2.505164E-11,-3.507230E-11,7.142857E-1,1.463644E-11,-2.505164E-11,-4.008263E-11,6.249999E-1,1.445366E-11,-2.505164E-11,-3.173208E-11,7.894737E-1,1.443315E-11,-2.004131E-11,-1.503099E-11,1.333333E+0,1.434167E-11,-2.672175E-11,-2.004131E-11,1.333333E+0,1.462887E-11,-3.674241E-11,-2.672175E-11,1.375000E+0,1.445558E-11,-4.342285E-11,-3.841252E-11,1.130435E+0,1.417016E-11,-3.841252E-11,-3.340219E-11,1.150000E+0,1.462643E-11,-2.672175E-11,-2.505164E-11,1.066667E+0,1.432897E-11,-1.670110E-11,-1.002066E-11,1.666667E+0,1.427173E-11,-2.672175E-11,-2.505164E-11,1.066667E+0
F06,WT - dox,T,1.403202E-11,-3.674241E-11,-3.006197E-11,1.222222E+0,1.419813E-11,-2.505164E-11,-2.004131E-11,1.250000E+0,1.414588E-11,-2.171142E-11,-3.006197E-11,7.222222E-1,1.395966E-11,-3.340219E-11,-3.173208E-11,1.052632E+0,1.335860E-11,-2.171142E-11,-2.338153E-11,9.285714E-1,1.368547E-11,-2.338153E-11,-1.503099E-11,1.555556E+0,1.365703E-11,-2.839186E-11,-2.505164E-11,1.133333E+0,1.355720E-11,-1.837120E-11,-1.336088E-11,1.375000E+0,1.387932E-11,-2.839186E-11,-2.004131E-11,1.416667E+0,1.386242E-11,-2.171142E-11,-1.503099E-11,1.444444E+0,1.383018E-11,-4.175274E-11,-3.674241E-11,1.136364E+0,1.344095E-11,-1.169077E-11,-5.010329E-12,2.333333E+0,1.371833E-11,-2.839186E-11,-2.839186E-11,1.000000E+0,1.361669E-11,-1.169077E-11,-1.002066E-11,1.166667E+0
H06,WT - dox,T,6.757503E-12,-1.503099E-11,-1.169077E-11,1.285714E+0,6.879630E-12,-1.670110E-11,-1.336088E-11,1.250000E+0,6.874690E-12,-1.670110E-11,-1.169077E-11,1.428571E+0,6.990120E-12,-2.338153E-11,-1.336088E-11,1.750000E+0,6.628237E-12,-2.505164E-11,-8.350548E-12,3.000000E+0,6.990521E-12,-3.006197E-11,-8.350548E-12,3.600000E+0,6.867409E-12,-3.340219E-11,-1.336088E-11,2.500000E+0,6.802642E-12,-3.006197E-11,-1.169077E-11,2.571429E+0,6.816830E-12,-3.006197E-11,-1.336088E-11,2.250000E+0,6.951833E-12,-2.839186E-11,-1.837120E-11,1.545455E+0,6.928794E-12,-2.004131E-11,-2.004131E-11,1.000000E+0,6.896352E-12,-5.010329E-12,-1.670110E-11,3.000000E-1,6.615077E-12,0.000000E+0,-1.503099E-11,-0.000000E+0,6.725529E-12,2.004131E-11,-2.171142E-11,-9.230770E-1
K06,WT - dox,T,5.982796E-12,-2.338153E-11,-4.175274E-11,5.600000E-1,5.964934E-12,-3.173208E-11,-3.006197E-11,1.055556E+0,5.524405E-12,-5.010328E-11,-3.340219E-11,1.500000E+0,4.926978E-12,-2.004131E-11,-3.841252E-11,5.217392E-1,5.470962E-12,-2.672175E-11,-6.179405E-11,4.324324E-1,4.880144E-12,-2.672175E-11,-2.004131E-11,1.333333E+0,5.438716E-12,-2.839186E-11,-2.505164E-11,1.133333E+0,5.732167E-12,-3.173208E-11,-2.004131E-11,1.583333E+0,5.499241E-12,-3.173208E-11,-1.670110E-11,1.900000E+0,5.102072E-12,-3.173208E-11,-1.670110E-11,1.900000E+0,5.347875E-12,-3.173208E-11,-1.837120E-11,1.727273E+0,5.570876E-12,-1.837120E-11,-1.670110E-11,1.100000E+0,4.637819E-12,-2.171142E-11,-4.008263E-11,5.416666E-1,5.526526E-12,-3.340219E-12,-3.006197E-11,1.111111E-1
L06,WT - dox,T,1.500336E-11,-1.503099E-11,-4.509296E-11,3.333333E-1,1.530793E-11,-2.004131E-11,-2.505164E-11,8.000000E-1,1.462766E-11,-2.338153E-11,-3.173208E-11,7.368422E-1,1.440590E-11,-2.505164E-11,-4.175274E-11,6.000000E-1,1.496387E-11,-2.171142E-11,-2.672175E-11,8.125000E-1,1.451591E-11,-3.173208E-11,-4.342285E-11,7.307692E-1,1.490379E-11,-2.338153E-11,-2.505164E-11,9.333334E-1,1.532896E-11,-2.839186E-11,-2.505164E-11,1.133333E+0,1.449844E-11,-2.839186E-11,-2.672175E-11,1.062500E+0,1.463976E-11,-2.505164E-11,-1.837120E-11,1.363636E+0,1.473401E-11,-3.340219E-11,-2.338153E-11,1.428571E+0,1.518453E-11,-2.004131E-11,-2.505164E-11,8.000000E-1,1.491540E-11,-2.338153E-11,-2.839186E-11,8.235294E-1,1.503305E-11,-1.169077E-11,-2.672175E-11,4.375000E-1
M06,WT - dox,T,1.342835E-11,-2.839186E-11,-3.674241E-11,7.727273E-1,1.376554E-11,-2.004131E-11,-2.839186E-11,7.058824E-1,1.281455E-11,-2.171142E-11,-3.173208E-11,6.842105E-1,1.245210E-11,-2.171142E-11,-3.507230E-11,6.190476E-1,1.310322E-11,-2.505164E-11,-1.670110E-11,1.500000E+0,1.273452E-11,-2.505164E-11,-2.839186E-11,8.823529E-1,1.314289E-11,-2.505164E-11,-2.672175E-11,9.375000E-1,1.347006E-11,-3.006197E-11,-2.338153E-11,1.285714E+0,1.255094E-11,-3.674241E-11,-3.507230E-11,1.047619E+0,1.249741E-11,-2.672175E-11,-1.837120E-11,1.454545E+0,1.259288E-11,-3.674241E-11,-2.839186E-11,1.294118E+0,1.339410E-11,-3.006197E-11,-3.006197E-11,1.000000E+0,1.285578E-11,-2.672175E-11,-2.839186E-11,9.411765E-1,1.274901E-11,-2.505164E-11,-3.173208E-11,7.894737E-1
N06,WT - dox,T,1.812260E-11,-2.004131E-11,-3.674241E-11,5.454546E-1,1.849388E-11,-1.837120E-11,-2.505164E-11,7.333333E-1,1.751663E-11,-2.505164E-11,-3.340219E-11,7.499999E-1,1.742437E-11,-2.004131E-11,-3.507230E-11,5.714286E-1,1.802790E-11,-1.837120E-11,-1.670110E-11,1.100000E+0,1.766841E-11,-2.338153E-11,-2.839186E-11,8.235294E-1,1.790678E-11,-2.171142E-11,-2.505164E-11,8.666667E-1,1.815960E-11,-2.505164E-11,-2.672175E-11,9.375000E-1,1.762755E-11,-2.004131E-11,-1.670110E-11,1.200000E+0,1.758076E-11,-3.173208E-11,-2.505164E-11,1.266667E+0,1.784394E-11,-3.173208E-11,-2.839186E-11,1.117647E+0,1.848397E-11,-2.338153E-11,-2.171142E-11,1.076923E+0,1.771173E-11,-3.507230E-11,-3.340219E-11,1.050000E+0,1.793403E-11,-2.505164E-11,-3.006197E-11,8.333333E-1
O06,WT - dox,T,9.619729E-12,-2.672175E-11,-3.173208E-11,8.421053E-1,9.760936E-12,-2.338153E-11,-1.670110E-11,1.400000E+0,9.232764E-12,-2.505164E-11,-2.839186E-11,8.823529E-1,8.976749E-12,-2.171142E-11,-1.837120E-11,1.181818E+0,9.463523E-12,-2.171142E-11,-1.002066E-11,2.166667E+0,9.039052E-12,-2.672175E-11,-2.839186E-11,9.411765E-1,9.254129E-12,-3.006197E-11,-2.672175E-11,1.125000E+0,9.813599E-12,-2.505164E-11,-2.004131E-11,1.250000E+0,9.178080E-12,-3.006197E-11,-3.340219E-11,9.000000E-1,8.830911E-12,-2.672175E-11,-2.338153E-11,1.142857E+0,9.143354E-12,-2.672175E-11,-2.338153E-11,1.142857E+0,9.730524E-12,-2.839186E-11,-2.839186E-11,1.000000E+0,9.676641E-12,-2.672175E-11,-2.338153E-11,1.142857E+0,9.211274E-12,-2.004131E-11,-2.338153E-11,8.571429E-1
A07,WT - dox,T,1.638936E-11,-2.338153E-11,-1.670110E-11,1.400000E+0,1.630032E-11,-1.670110E-11,-1.169077E-11,1.428571E+0,1.610012E-11,-2.004131E-11,-1.169077E-11,1.714286E+0,1.618634E-11,-2.672175E-11,-2.171142E-11,1.230769E+0,1.616631E-11,-5.010328E-11,-2.505164E-11,2.000000E+0,1.578331E-11,-2.505164E-11,-1.002066E-11,2.500000E+0,1.608929E-11,-3.173208E-11,-1.837120E-11,1.727273E+0,1.647938E-11,-3.507230E-11,-1.169077E-11,3.000000E+0,1.619876E-11,-3.340219E-11,-2.004131E-11,1.666667E+0,1.614825E-11,-4.509296E-11,-4.509296E-11,1.000000E+0,1.619658E-11,-4.342285E-11,-4.175274E-11,1.040000E+0,1.513957E-11,-3.340219E-12,-1.503099E-11,2.222222E-1,1.639419E-11,1.670109E-12,-2.505164E-11,-6.666667E-2,1.605919E-11,-1.670110E-11,-5.344350E-11,3.125000E-1
C07,WT - dox,T,1.944213E-11,-3.173208E-11,-4.843317E-11,6.551724E-1,1.972521E-11,-2.171142E-11,-4.342285E-11,5.000000E-1,1.895332E-11,-1.503099E-11,-5.010328E-11,3.000000E-1,1.925069E-11,-2.338153E-11,-4.676307E-11,5.000000E-1,1.939353E-11,-2.505164E-11,-4.342285E-11,5.769231E-1,1.985972E-11,-2.839186E-11,-3.507230E-11,8.095238E-1,1.937820E-11,-1.837120E-11,-2.672175E-11,6.875000E-1,1.947905E-11,-3.173208E-11,-3.006197E-11,1.055556E+0,1.925361E-11,-3.340219E-11,-1.670110E-11,2.000000E+0,1.906679E-11,-3.674241E-11,-1.503099E-11,2.444444E+0,1.926355E-11,-4.175274E-11,-1.837120E-11,2.272727E+0,1.940916E-11,-4.843317E-11,-2.505164E-11,1.933333E+0,1.940034E-11,-4.676307E-11,-2.505164E-11,1.866667E+0,1.927292E-11,-3.507230E-11,-2.338153E-11,1.500000E+0
E07,WT - dox,T,1.725173E-11,-1.837120E-11,-2.004131E-11,9.166666E-1,1.742508E-11,-1.837120E-11,-1.837120E-11,1.000000E+0,1.711234E-11,-2.004131E-11,-2.171142E-11,9.230770E-1,1.697465E-11,-2.505164E-11,-2.338153E-11,1.071429E+0,1.706762E-11,-2.004131E-11,-1.837120E-11,1.090909E+0,1.679940E-11,-2.171142E-11,-2.004131E-11,1.083333E+0,1.667649E-11,-2.338153E-11,-1.670110E-11,1.400000E+0,1.697996E-11,-2.505164E-11,-2.338153E-11,1.071429E+0,1.674741E-11,-2.171142E-11,-1.837120E-11,1.181818E+0,1.676313E-11,-2.505164E-11,-1.837120E-11,1.363636E+0,1.683845E-11,-2.171142E-11,-1.336088E-11,1.625000E+0,1.689627E-11,-1.503099E-11,-1.503099E-11,1.000000E+0,1.682627E-11,-1.002066E-11,-1.670110E-11,6.000000E-1,1.668774E-11,-5.010329E-12,-2.171142E-11,2.307692E-1
F07,WT - dox,T,9.174460E-12,-2.672175E-11,-2.505164E-11,1.066667E+0,9.371073E-12,-1.837120E-11,-2.839186E-11,6.470588E-1,9.549754E-12,-2.171142E-11,-2.505164E-11,8.666667E-1,8.878065E-12,-2.171142E-11,-1.837120E-11,1.181818E+0,9.134907E-12,-2.505164E-11,-1.837120E-11,1.363636E+0,8.949484E-12,-2.672175E-11,-3.006197E-11,8.888889E-1,9.253276E-12,-2.839186E-11,-2.505164E-11,1.133333E+0,9.112365E-12,-2.839186E-11,-2.505164E-11,1.133333E+0,9.024079E-12,-2.505164E-11,-1.837120E-11,1.363636E+0,9.119200E-12,-2.338153E-11,-1.503099E-11,1.555556E+0,8.956101E-12,-3.006197E-11,-2.004131E-11,1.500000E+0,8.501514E-12,-3.340219E-11,-3.173208E-11,1.052632E+0,8.914629E-12,-2.839186E-11,-2.839186E-11,1.000000E+0,8.637883E-12,-2.505164E-11,-3.507230E-11,7.142857E-1
G07,WT - dox,T,7.762993E-11,-2.004131E-11,-8.684569E-11,2.307692E-1,7.696891E-11,-1.503099E-11,-9.686635E-11,1.551724E-1,7.660845E-11,-2.004131E-11,-7.849515E-11,2.553191E-1,7.568068E-11,-1.503099E-11,-6.179405E-11,2.432432E-1,7.565331E-11,-2.171142E-11,-5.344350E-11,4.062500E-1,7.560624E-11,-2.338153E-11,-4.843317E-11,4.827586E-1,7.550958E-11,-1.837120E-11,-2.505164E-11,7.333333E-1,7.414524E-11,-3.006197E-11,-1.670110E-11,1.800000E+0,7.247531E-11,-5.678372E-11,-8.350548E-12,6.800000E+0,7.203316E-11,-7.515492E-11,-1.169077E-11,6.428571E+0,7.145158E-11,-6.346416E-11,1.169077E-11,-5.428571E+0,7.051022E-11,-7.014460E-11,-1.336088E-11,5.250000E+0,7.070792E-11,-4.509296E-11,3.340219E-12,-1.350000E+1,6.912020E-11,-3.507230E-11,-2.171142E-11,1.615385E+0
H07,WT - dox,T,1.003987E-11,-1.837120E-11,-3.006197E-11,6.111111E-1,1.027544E-11,-2.004131E-11,-2.839186E-11,7.058824E-1,9.837668E-12,-1.670110E-11,-3.340219E-11,5.000000E-1,9.802216E-12,-2.171142E-11,-2.505164E-11,8.666667E-1,1.014354E-11,-2.171142E-11,-2.338153E-11,9.285714E-1,9.905625E-12,-2.004131E-11,-3.173208E-11,6.315790E-1,9.846328E-12,-2.338153E-11,-2.171142E-11,1.076923E+0,1.014361E-11,-3.006197E-11,-3.006197E-11,1.000000E+0,9.710239E-12,-2.672175E-11,-2.171142E-11,1.230769E+0,9.859258E-12,-2.839186E-11,-2.004131E-11,1.416667E+0,9.702582E-12,-2.171142E-11,-1.837120E-11,1.181818E+0,9.718185E-12,-2.505164E-11,-2.171142E-11,1.153846E+0,9.779273E-12,-1.837120E-11,-1.837120E-11,1.000000E+0,9.760334E-12,-1.670110E-11,-2.171142E-11,7.692308E-1
J07,WT - dox,T,1.077713E-11,-2.171142E-11,-1.670110E-11,1.300000E+0,1.095627E-11,-2.672175E-11,-3.340219E-11,8.000000E-1,1.096251E-11,-2.338153E-11,-2.672175E-11,8.750000E-1,1.120981E-11,-2.171142E-11,-1.336088E-11,1.625000E+0,1.086357E-11,-2.505164E-11,-3.173208E-11,7.894737E-1,1.103241E-11,-2.171142E-11,-1.837120E-11,1.181818E+0,1.071135E-11,-2.505164E-11,-2.004131E-11,1.250000E+0,1.059241E-11,-2.004131E-11,-1.002066E-11,2.000000E+0,1.056348E-11,-2.672175E-11,-2.171142E-11,1.230769E+0,1.013735E-11,-2.672175E-11,-2.004131E-11,1.333333E+0,9.976894E-12,-2.839186E-11,-2.505164E-11,1.133333E+0,1.011027E-11,-2.505164E-11,-2.171142E-11,1.153846E+0,1.030770E-11,-2.338153E-11,-2.505164E-11,9.333334E-1,1.010828E-11,-2.171142E-11,-2.338153E-11,9.285714E-1
L07,WT - dox,T,1.194720E-11,-1.670110E-11,-2.839186E-11,5.882353E-1,1.193334E-11,-2.171142E-11,-3.674241E-11,5.909091E-1,1.223529E-11,-2.004131E-11,-3.507230E-11,5.714286E-1,1.242516E-11,-2.672175E-11,-3.340219E-11,8.000000E-1,1.191339E-11,-2.171142E-11,-3.340219E-11,6.500000E-1,1.220375E-11,-2.004131E-11,-2.338153E-11,8.571429E-1,1.198440E-11,-3.674241E-11,-4.676307E-11,7.857143E-1,1.190450E-11,-2.505164E-11,-2.171142E-11,1.153846E+0,1.203214E-11,-3.006197E-11,-2.839186E-11,1.058823E+0,1.201521E-11,-2.672175E-11,-1.837120E-11,1.454545E+0,1.175909E-11,-3.173208E-11,-2.505164E-11,1.266667E+0,9.508425E-12,-3.006197E-11,-3.006197E-11,1.000000E+0,1.187497E-11,-2.839186E-11,-2.672175E-11,1.062500E+0,1.189437E-11,-6.680438E-11,-6.012394E-11,1.111111E+0
M07,WT - dox,T,1.890075E-11,-1.837120E-11,-3.006197E-11,6.111111E-1,1.893073E-11,-2.171142E-11,-2.839186E-11,7.647058E-1,1.886379E-11,-2.004131E-11,-3.173208E-11,6.315790E-1,1.920658E-11,-2.171142E-11,-2.505164E-11,8.666667E-1,1.850874E-11,-2.171142E-11,-3.507230E-11,6.190476E-1,1.897480E-11,-2.338153E-11,-3.006197E-11,7.777778E-1,1.864680E-11,-2.004131E-11,-2.171142E-11,9.230770E-1,1.889136E-11,-2.505164E-11,-2.338153E-11,1.071429E+0,1.922215E-11,-2.672175E-11,-1.837120E-11,1.454545E+0,1.917304E-11,-3.173208E-11,-2.672175E-11,1.187500E+0,1.898564E-11,-4.008263E-11,-3.173208E-11,1.263158E+0,1.894501E-11,-2.672175E-11,-2.338153E-11,1.142857E+0,1.912018E-11,-3.173208E-11,-2.505164E-11,1.266667E+0,1.874445E-11,-2.505164E-11,-3.173208E-11,7.894737E-1
P07,WT - dox,T,1.642041E-11,-2.171142E-11,-2.672175E-11,8.125000E-1,1.632687E-11,-1.837120E-11,-3.507230E-11,5.238095E-1,1.620755E-11,-1.837120E-11,-3.340219E-11,5.500000E-1,1.687125E-11,-1.670110E-11,-2.672175E-11,6.250000E-1,1.656948E-11,-2.171142E-11,-3.340219E-11,6.500000E-1,1.671244E-11,-2.505164E-11,-3.340219E-11,7.499999E-1,1.656728E-11,-2.171142E-11,-2.338153E-11,9.285714E-1,1.649595E-11,-2.672175E-11,-2.839186E-11,9.411765E-1,1.670692E-11,-3.006197E-11,-2.672175E-11,1.125000E+0,1.668852E-11,-2.839186E-11,-2.505164E-11,1.133333E+0,1.678708E-11,-3.173208E-11,-2.839186E-11,1.117647E+0,1.637196E-11,-3.006197E-11,-2.338153E-11,1.285714E+0,1.650135E-11,-3.173208E-11,-3.006197E-11,1.055556E+0,1.654579E-11,-2.171142E-11,-2.505164E-11,8.666667E-1
A08,WT - dox,T,1.754459E-11,-3.006197E-11,-3.173208E-11,9.473684E-1,1.756146E-11,-2.004131E-11,-3.006197E-11,6.666667E-1,1.729106E-11,-1.837120E-11,-1.837120E-11,1.000000E+0,1.747421E-11,-2.338153E-11,-2.505164E-11,9.333334E-1,1.755116E-11,-2.171142E-11,-3.006197E-11,7.222222E-1,1.755419E-11,-2.171142E-11,-2.171142E-11,1.000000E+0,1.742061E-11,-2.004131E-11,-2.338153E-11,8.571429E-1,1.753221E-11,-3.006197E-11,-2.505164E-11,1.200000E+0,1.747731E-11,-2.004131E-11,-1.670110E-11,1.200000E+0,1.741504E-11,-2.505164E-11,-2.004131E-11,1.250000E+0,1.751615E-11,-3.006197E-11,-2.505164E-11,1.200000E+0,1.759074E-11,-2.672175E-11,-2.171142E-11,1.230769E+0,1.759278E-11,-3.841252E-11,-3.507230E-11,1.095238E+0,1.759759E-11,-1.002066E-11,-8.350548E-12,1.200000E+0
F08,WT - dox,T,1.293429E-11,-2.338153E-11,-2.004131E-11,1.166667E+0,1.293445E-11,-1.837120E-11,-3.173208E-11,5.789474E-1,1.299695E-11,-2.004131E-11,-1.002066E-11,2.000000E+0,1.292771E-11,-3.674241E-11,-3.173208E-11,1.157895E+0,1.302561E-11,-3.006197E-11,-2.839186E-11,1.058823E+0,1.297549E-11,-2.839186E-11,-2.672175E-11,1.062500E+0,1.281668E-11,-3.674241E-11,-2.171142E-11,1.692308E+0,1.286226E-11,-3.340219E-11,-3.340219E-11,1.000000E+0,1.291886E-11,-3.507230E-11,-3.173208E-11,1.105263E+0,1.280449E-11,-3.340219E-11,-2.505164E-11,1.333333E+0,1.279352E-11,-2.839186E-11,-2.672175E-11,1.062500E+0,1.294069E-11,-1.837120E-11,-2.338153E-11,7.857143E-1,1.294289E-11,-2.505164E-11,-3.173208E-11,7.894737E-1,1.286654E-11,-5.010329E-12,-1.670110E-11,3.000000E-1
I08,WT - dox,T,4.981712E-11,-2.839186E-11,-3.006197E-11,9.444445E-1,4.953617E-11,-2.338153E-11,-4.676307E-11,5.000000E-1,4.945185E-11,-1.837120E-11,-4.676307E-11,3.928571E-1,4.957941E-11,-1.169077E-11,-2.004131E-11,5.833333E-1,4.918709E-11,-2.672175E-11,-4.509296E-11,5.925926E-1,4.904988E-11,-2.672175E-11,-3.841252E-11,6.956522E-1,4.850743E-11,-3.173208E-11,-3.507230E-11,9.047619E-1,4.735911E-11,3.340219E-12,3.006197E-11,1.111111E-1,4.708943E-11,-4.342285E-11,-2.672175E-11,1.625000E+0,4.688893E-11,-4.676307E-11,-2.171142E-11,2.153846E+0,4.590175E-11,-4.175274E-11,-3.340219E-12,1.250000E+1,4.475571E-11,-4.175274E-11,-2.004131E-11,2.083333E+0,4.350991E-11,-3.006197E-11,-1.670109E-12,1.800000E+1,4.219764E-11,-2.004131E-11,-1.169077E-11,1.714286E+0
J08,WT - dox,T,1.004705E-11,-4.843317E-11,-1.670110E-11,2.900000E+0,1.013370E-11,-1.837120E-11,-2.004131E-11,9.166666E-1,1.015953E-11,-2.004131E-11,-1.837120E-11,1.090909E+0,1.012399E-11,-2.338153E-11,-1.503099E-11,1.555556E+0,9.786664E-12,-2.505164E-11,-3.006197E-11,8.333333E-1,9.934004E-12,-3.006197E-11,-1.837120E-11,1.636364E+0,9.858937E-12,-2.672175E-11,-2.839186E-11,9.411765E-1,9.861514E-12,-5.177339E-11,-1.503099E-11,3.444444E+0,1.006670E-11,-2.505164E-11,-2.505164E-11,1.000000E+0,1.005040E-11,-2.338153E-11,-2.171142E-11,1.076923E+0,1.002994E-11,-2.171142E-11,-2.004131E-11,1.083333E+0,1.006624E-11,-2.171142E-11,-2.004131E-11,1.083333E+0,1.000846E-11,-1.837120E-11,-2.171142E-11,8.461539E-1,1.008396E-11,-8.350548E-12,-1.837120E-11,4.545455E-1
L08,WT - dox,T,1.654868E-11,-1.670110E-11,-8.350548E-12,2.000000E+0,1.680289E-11,-1.503099E-11,-8.350548E-12,1.800000E+0,1.660244E-11,-2.171142E-11,3.340219E-12,-6.500000E+0,1.648792E-11,-1.837120E-11,1.169077E-11,-1.571429E+0,1.633902E-11,-2.338153E-11,-8.350548E-12,2.800000E+0,1.670995E-11,-1.837120E-11,3.340219E-12,-5.500000E+0,1.635348E-11,-2.839186E-11,-1.002066E-11,2.833333E+0,1.648059E-11,-1.336088E-11,1.336088E-11,-1.000000E+0,1.651183E-11,-2.004131E-11,0.000000E+0,-Inf,1.659358E-11,-1.336088E-11,1.670109E-12,-8.000000E+0,1.639769E-11,0.000000E+0,6.680438E-12,0.000000E+0,1.628652E-11,1.002066E-11,-1.670109E-12,-6.000000E+0,1.632138E-11,2.672175E-11,3.340219E-12,8.000000E+0,1.619694E-11,4.676307E-11,5.010329E-12,9.333333E+0
M08,WT - dox,T,1.620950E-11,-1.670110E-11,-3.674241E-11,4.545455E-1,1.619909E-11,-2.004131E-11,-3.841252E-11,5.217392E-1,1.652641E-11,-1.837120E-11,-3.507230E-11,5.238095E-1,1.658056E-11,-2.004131E-11,-3.674241E-11,5.454546E-1,1.634267E-11,-2.338153E-11,-3.841252E-11,6.086957E-1,1.676329E-11,-2.004131E-11,-3.173208E-11,6.315790E-1,1.642248E-11,-2.338153E-11,-2.505164E-11,9.333334E-1,1.625621E-11,-2.505164E-11,-2.338153E-11,1.071429E+0,1.663263E-11,-3.340219E-11,-2.505164E-11,1.333333E+0,1.663059E-11,-3.507230E-11,-2.004131E-11,1.750000E+0,1.639540E-11,-3.173208E-11,-2.338153E-11,1.357143E+0,1.644909E-11,-2.839186E-11,-2.171142E-11,1.307692E+0,1.637981E-11,-3.173208E-11,-2.672175E-11,1.187500E+0,1.650611E-11,-1.336088E-11,-1.837120E-11,7.272727E-1
N08,WT - dox,T,1.962105E-11,-2.505164E-11,-3.340219E-11,7.499999E-1,1.934172E-11,-2.505164E-11,-3.507230E-11,7.142857E-1,1.970534E-11,-2.004131E-11,-3.006197E-11,6.666667E-1,1.984185E-11,-2.338153E-11,-2.505164E-11,9.333334E-1,1.959472E-11,-2.338153E-11,-3.173208E-11,7.368422E-1,1.969845E-11,-2.505164E-11,-2.338153E-11,1.071429E+0,1.953800E-11,-3.340219E-11,-2.004131E-11,1.666667E+0,1.950607E-11,-2.505164E-11,-1.503099E-11,1.666667E+0,1.946948E-11,-2.505164E-11,-2.004131E-11,1.250000E+0,1.950013E-11,-3.173208E-11,-2.672175E-11,1.187500E+0,1.953632E-11,-2.839186E-11,-2.338153E-11,1.214286E+0,1.932185E-11,-2.338153E-11,-2.338153E-11,1.000000E+0,1.947521E-11,-2.004131E-11,-1.837120E-11,1.090909E+0,1.929357E-11,-2.171142E-11,-2.338153E-11,9.285714E-1
P08,WT - dox,T,1.853969E-11,-1.670110E-11,-2.004131E-11,8.333334E-1,1.858611E-11,-1.837120E-11,-3.006197E-11,6.111111E-1,1.850430E-11,-2.004131E-11,-2.171142E-11,9.230770E-1,1.867845E-11,-2.171142E-11,-1.670110E-11,1.300000E+0,1.852324E-11,-2.505164E-11,-2.505164E-11,1.000000E+0,1.867799E-11,-2.338153E-11,-2.004131E-11,1.166667E+0,1.867106E-11,-2.672175E-11,-2.505164E-11,1.066667E+0,1.842492E-11,-2.338153E-11,-1.837120E-11,1.272727E+0,1.852906E-11,-2.338153E-11,-1.837120E-11,1.272727E+0,1.867140E-11,-2.171142E-11,-1.837120E-11,1.181818E+0,1.853619E-11,-2.171142E-11,-1.670110E-11,1.300000E+0,1.857743E-11,-1.670110E-11,-2.004131E-11,8.333334E-1,1.873642E-11,-1.837120E-11,-2.505164E-11,7.333333E-1,1.863863E-11,-1.169077E-11,-2.004131E-11,5.833333E-1
